visit,rodent_uid,blood_id,filter_id
8,8_LAM_001,527,NA
8,8_LAM_002,528,NA
8,8_LAM_003,529,NA
8,8_LAM_004,530,NA
8,8_BAI_001,531,NA
8,8_BAI_002,532,NA
8,8_BAI_003,533,NA
8,8_BAI_004,534,NA
8,8_BAI_005,535,NA
8,8_BAI_006,536,NA
8,8_BAI_007,537,NA
8,8_BAI_008,538,NA
8,8_BAI_009,539,NA
8,8_BAI_010,540,NA
8,8_BAI_011,541,NA
8,8_BAI_012,542,NA
8,8_BAI_013,543,NA
8,8_BAI_014,544,NA
8,8_LAM_005,545,NA
8,8_LAM_006,546,NA
8,8_LAM_007,547,NA
8,8_LAM_008,548,NA
8,8_LAM_009,549,NA
9,9_LAL_001,550,NA
9,9_LAL_002,551,NA
9,9_LAL_003,552,NA
9,9_LAL_004,553,NA
9,9_LAL_005,554,NA
9,9_LAL_006,555,NA
9,9_LAL_007,556,NA
9,9_LAL_008,557,NA
9,9_LAL_009,558,NA
9,9_LAL_010,559,NA
9,9_LAL_011,560,NA
9,9_LAL_012,561,NA
9,9_SEI_001,562,NA
9,9_SEI_002,563,NA
9,9_SEI_003,564,NA
9,9_SEI_004,565,NA
9,9_SEI_005,566,NA
9,9_SEI_006,567,NA
9,9_SEI_007,568,NA
9,9_SEI_008,569,NA
9,9_SEI_009,570,NA
9,9_SEI_010,571,NA
9,9_SEI_011,572,NA
9,9_SEI_012,573,NA
9,9_SEI_013,574,NA
9,9_SEI_014,575,NA
9,9_SEI_015,576,NA
9,9_SEI_016,577,NA
9,9_SEI_017,578,NA
9,9_SEI_018,579,NA
9,9_SEI_019,580,NA
9,9_SEI_020,581,NA
9,9_SEI_021,582,NA
9,9_LAM_001,583,NA
9,9_LAM_002,584,NA
9,9_LAM_003,585,NA
9,9_LAM_004,586,NA
9,9_LAM_005,587,NA
9,9_LAM_006,588,NA
9,9_LAM_007,589,NA
9,9_LAM_008,590,NA
9,9_LAM_009,591,NA
9,9_LAM_010,592,NA
9,9_LAM_011,593,NA
9,9_LAM_012,594,NA
9,9_LAM_013,595,NA
9,9_LAM_014,596,NA
9,9_LAM_015,597,NA
9,9_LAM_016,598,NA
9,9_LAM_017,599,NA
9,9_LAM_018,600,NA
9,9_LAM_019,601,NA
9,9_LAM_020,602,NA
9,9_LAM_021,603,NA
9,9_LAM_022,604,NA
9,9_BAI_001,605,NA
9,9_BAI_002,606,NA
9,9_BAI_003,607,NA
9,9_BAI_004,608,NA
9,9_BAI_005,609,NA
9,9_BAI_006,610,NA
9,9_BAI_007,611,NA
9,9_BAI_008,612,NA
